Date,Product Name,RAM,Memory,Units Sold,Price (USD),Competitor Price,Stock Available,Marketing Spend,Holiday/Season Indicator,Weather Condition,Economic Indicator,Social Media Trend Score,Market Sentiment Score,Competitor Activity Score,Discount (%),Adjusted Units Sold,Year,Month
2022-01-01,iPhone 14,6GB,128GB,121,1229,1191,216,7196,0,0,1.1417059976537134,0.6652710458708162,0.943891999740187,0.6115674251033635,30,175,2022,1
2022-01-01,iPhone 15,6GB,256GB,9,1147,1176,292,12616,0,0,0.963156030349748,1.3814798437847076,1.4701952416393702,1.1779190393895864,15,11,2022,1
2022-01-01,Samsung Galaxy S22,8GB,128GB,164,874,872,401,10040,0,0,1.056488222248405,1.0893682922668062,0.9074257263386042,1.3821273624379409,20,213,2022,1
2022-01-01,Samsung Galaxy S23,8GB,256GB,40,628,586,401,5343,0,0,0.8477894908474404,0.5203344920342063,1.114030232909204,0.9277811681479337,30,58,2022,1
2022-01-01,Google Pixel 7,8GB,128GB,182,1360,1337,352,10026,0,0,1.0306733502321437,0.6429255264190132,1.0494447472399344,0.6835186773297516,10,209,2022,1
2022-01-01,Google Pixel 8,8GB,256GB,97,772,749,192,7844,0,0,1.0157196764224103,1.0936622762904613,0.96872578336672,0.5837564955028745,20,126,2022,1
2022-01-01,OnePlus 10 Pro,12GB,256GB,37,762,811,166,5383,0,1,1.171540754874568,1.395596032350256,1.4728733706977222,0.9411272319258126,20,48,2022,1
2022-01-01,OnePlus 11,16GB,512GB,116,1273,1283,66,6516,0,0,0.9236770200298574,1.3930003867902243,1.192920630279867,1.453435541438648,30,168,2022,1
2022-01-01,Xiaomi Mi 12,8GB,128GB,94,1413,1452,222,18306,0,0,1.1821884928747868,1.092126598670956,0.7304569628450265,0.8584854636383193,5,101,2022,1
2022-01-01,Xiaomi Mi 13,12GB,256GB,100,1259,1215,256,17509,0,0,0.9114226774420658,0.645174737587794,0.9918524305405224,0.6272114339673489,10,115,2022,1
2022-01-01,Oppo Find X5,8GB,128GB,129,757,725,474,1518,0,0,0.884668132527861,1.381890280872471,0.5789849517179256,1.1985459018445366,30,187,2022,1
2022-01-01,Oppo Find X6,12GB,512GB,162,1064,1031,110,19591,0,1,0.8368018196816212,0.9098304434387292,1.4405419710123932,1.0065427479942062,10,186,2022,1
2022-01-02,iPhone 14,6GB,128GB,153,861,879,241,18912,0,0,0.8468680381892433,1.1485873535785345,0.6391267574047724,1.1023504859328472,10,176,2022,1
2022-01-02,iPhone 15,6GB,256GB,70,1025,1007,274,10395,0,0,1.1928313830900288,0.9182462275059862,0.8598483111484257,1.0613639846572365,20,91,2022,1
2022-01-02,Samsung Galaxy S22,8GB,128GB,116,1313,1324,372,7551,0,0,0.9094917432059806,1.0562168800164564,0.8408433640681733,1.039239788586876,15,142,2022,1
2022-01-02,Samsung Galaxy S23,8GB,256GB,152,778,743,326,15952,0,0,1.1227912898362569,1.1854040489167588,1.0089506101754655,0.69116563060143,10,175,2022,1
2022-01-02,Google Pixel 7,8GB,128GB,166,1276,1317,386,8157,0,0,1.1776203120932125,0.6002702551248514,0.8469011757800436,1.2060622239137175,25,228,2022,1
2022-01-02,Google Pixel 8,8GB,256GB,152,1426,1381,248,2692,0,0,0.8296269721312787,0.6693197488514554,0.9485434575564632,1.1442816960117868,20,198,2022,1
2022-01-02,OnePlus 10 Pro,12GB,256GB,123,1026,998,453,6745,0,0,0.9749374872334235,1.4671803764699618,0.7939373727760907,0.5078803398731303,5,132,2022,1
2022-01-02,OnePlus 11,16GB,512GB,90,1474,1426,248,14370,0,0,0.9174076397286306,1.2564191811370893,1.4773679255722076,1.2133498140199457,15,110,2022,1
2022-01-02,Xiaomi Mi 12,8GB,128GB,11,730,682,394,9485,0,0,1.1364974421614715,0.8795309676581037,1.228964509713679,1.1313032065272108,25,15,2022,1
2022-01-02,Xiaomi Mi 13,12GB,256GB,13,896,913,56,2732,0,0,1.1223418946535173,1.2330331197444102,1.0547400350616365,1.4527968818761656,25,18,2022,1
2022-01-02,Oppo Find X5,8GB,128GB,53,609,654,349,11230,0,0,1.117663260863103,0.7431244314533791,1.4610107253905715,1.496837101586654,5,57,2022,1
2022-01-02,Oppo Find X6,12GB,512GB,177,937,986,437,17098,0,0,1.0410145975637928,1.1886113929402435,0.651780279686258,0.8341969579771965,15,217,2022,1
2022-01-03,iPhone 14,6GB,128GB,126,799,759,491,8610,0,0,0.983980155881931,0.8710912786079782,1.1054900413330448,0.5065022995802895,20,164,2022,1
2022-01-03,iPhone 15,6GB,256GB,105,794,783,357,10102,0,0,1.1497298489885308,0.6030904921637354,1.2275012943998762,0.7500715832322832,0,105,2022,1
2022-01-03,Samsung Galaxy S22,8GB,128GB,135,1371,1325,490,1337,0,1,0.9293188528681572,0.93292210057803,1.2088325478583877,0.979493787046365,15,165,2022,1
2022-01-03,Samsung Galaxy S23,8GB,256GB,147,1459,1420,431,14451,0,0,1.024463417958851,0.5205048159021598,0.9331336558490086,1.49296242990371,5,158,2022,1
