Date,Units Sold,Price (USD),Competitor Price,Stock Available,Marketing Spend,Holiday/Season Indicator,Weather Condition,Economic Indicator,Social Media Trend Score,Market Sentiment Score,Competitor Activity Score,Product Name_Google Pixel 8,Product Name_OnePlus 10 Pro,Product Name_OnePlus 11,Product Name_Oppo Find X5,Product Name_Oppo Find X6,Product Name_Samsung Galaxy S22,Product Name_Samsung Galaxy S23,Product Name_Xiaomi Mi 12,Product Name_Xiaomi Mi 13,Product Name_iPhone 14,Product Name_iPhone 15,RAM_16GB,RAM_6GB,RAM_8GB,Memory_256GB,Memory_512GB
2022-01-01,0.5979381443298969,0.6996662958843158,0.641851106639839,0.36971046770601335,0.32608695652173914,0.0,0.0,0.8543915778314299,0.16492320036838293,0.4438408912222117,0.11154073685760613,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2022-01-01,0.02061855670103093,0.6084538375973303,0.6267605633802819,0.5389755011135857,0.6113801452784504,0.0,0.0,0.4079162296021783,0.8816504046014493,0.9702167921627703,0.67792303742117,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False
2022-01-01,0.8195876288659794,0.3047830923248054,0.32092555331991957,0.7817371937639198,0.4757869249394674,0.0,0.0,0.6412992064134366,0.5893274168729736,0.4073695834521186,0.8821424249621088,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2022-01-01,0.18041237113402062,0.031145717463848754,0.03319919517102621,0.7817371937639198,0.22855037372354986,0.0,0.0,0.11943499000268742,0.01988173854180253,0.6140026129049584,0.4277716131147836,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False
2022-01-01,0.9123711340206185,0.8453837597330367,0.7887323943661974,0.6726057906458797,0.475050005263712,0.0,0.0,0.5767475061415883,0.14256150678059776,0.5494082108561155,0.18349588757395197,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2022-01-01,0.4742268041237113,0.19132369299221363,0.19718309859154937,0.3162583518930957,0.36019581008527213,0.0,0.0,0.5393549105431736,0.5936245089685468,0.46867810328841286,0.08372830039481238,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
2022-01-01,0.5721649484536082,0.7486095661846497,0.7344064386317909,0.0356347438752784,0.2902937151279082,0.0,0.0,0.3091964978292121,0.893179286407483,0.6929039015265018,0.9534544676095369,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
2022-01-01,0.4587628865979381,0.9043381535038932,0.9044265593561368,0.38307349665924273,0.9108853563533004,0.0,0.0,0.955620586292953,0.5920877197947232,0.23037638845273734,0.35847215399910226,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2022-01-01,0.48969072164948446,0.7330367074527253,0.6659959758551309,0.4587973273942093,0.8689335719549427,0.0,0.0,0.27855374859313686,0.14481234597361736,0.4918079432223583,0.12718559335119595,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2022-01-01,0.6391752577319587,0.1746384872080089,0.17303822937625757,0.9443207126948774,0.027213390883250865,0.0,0.0,0.21165233753351442,0.8820611387718238,0.07888346578596217,0.6985510174885821,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2022-01-02,0.7628865979381443,0.29032258064516137,0.3279678068410463,0.42538975501113585,0.9427834508895674,0.0,0.0,0.11713084006271579,0.6485893421312059,0.1390335743780543,0.6023503894804898,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2022-01-02,0.33505154639175255,0.47274749721913234,0.4567404426559357,0.49888641425389746,0.49447310243183495,0.0,0.0,0.9822337981952907,0.41808149052321375,0.35978559993952897,0.5613616674587671,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False
2022-01-02,0.5721649484536082,0.7931034482758621,0.7756539235412475,0.7171492204899776,0.34477313401410675,0.0,0.0,0.2737253268998625,0.5561520089643042,0.34077802912237665,0.5392362726468487,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2022-01-02,0.7577319587628866,0.19799777530589546,0.1911468812877264,0.6146993318485523,0.7869775765870092,0.0,0.0,0.8070941692294071,0.6854326861332978,0.5089084833545255,0.19114325517574438,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False
2022-01-02,0.8298969072164948,0.7519466073414907,0.7686116700201208,0.7483296213808462,0.37667122855037377,0.0,0.0,0.9441975648495755,0.09987536074397341,0.3468366771482896,0.7060677468099679,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
